Día,Belisario,Carapungo,Centro,Cotocollao,El Camal
1,782.0181558735561,719.7439003219059,708.3618398493597,436.88903275893404,946.9449660473083
2,958.2871032941171,221.98736703493918,939.4746423410809,619.7335779537431,774.8657630652783
3,233.92750887989084,824.4472789795395,529.8629375194919,966.7051851530669,244.62621184534746
4,418.513116179267,815.5914902222738,903.3928744350121,742.2661041916973,918.0265717163047
5,760.9451142508909,429.85756548761526,821.7336645812172,538.2446743923188,439.05888895335005
6,219.92702184192757,331.25567079874224,403.5237189115806,327.4505064337434,911.7596898719194
7,562.5707731117285,676.7880746852602,736.4817577746076,485.2411795019186,523.1317633933213
8,337.2888897570107,762.7266904255921,378.6743688923085,969.3406145776343,577.3743998824921
9,290.5314008209582,937.6779231354492,856.1346986655254,235.91365627363075,754.1758012861271
10,868.0191112511114,207.21714882814135,394.0174789197821,350.5143133513504,818.3348548231639
11,591.8762576315021,444.9681489943506,596.5763104290709,754.6696881504138,808.4995465733202
12,507.5183581473839,401.3419785129215,661.8525137259999,907.9497126591328,240.27971104563966
13,249.33959494935954,582.2890690516847,291.3989841279513,448.90963312364477,316.3840639749125
14,430.6828567057792,753.2093800834277,659.8683644562004,542.1619832353462,468.8153263160557
15,818.1875157582546,734.2233921756244,550.2823010560562,690.9131757029623,345.2934454124671
16,324.85077231108414,297.71048958777374,810.6343918513535,960.6402881685345,814.6926039961854
17,572.6728101498367,313.2263118621439,918.9776028897224,205.59322140886414,300.6196956414058
18,721.5611389658585,230.3961957479415,754.8475288453674,668.8606729469378,435.7094013907997
19,282.01287578165005,538.2805876886614,620.9291925311418,724.3859569311072,575.0523316518072
20,380.9982108148715,659.433669446538,667.9026309628531,531.8783918813914,291.5584734704553
21,881.1527759623078,894.5629579955819,350.54405408637183,419.1872694128938,677.2279874282181
22,940.1727359843045,348.13248109765084,480.5199960250312,998.2860744533492,428.7911326350665
23,767.3670778181327,382.55076317531785,270.2056066798374,379.63954425702184,298.6672507646267
24,971.7637839127149,356.91621065262274,294.22977206272094,527.590324969638,827.9810105182586
25,325.2211489023083,350.7702410993037,514.4115166345789,684.1415463228352,865.4694872872138
26,742.9410981080262,754.391003609221,472.95505428331256,415.0593785182019,354.6866193917763
27,879.2286576926598,447.8075533818605,581.5662893195015,433.1708230361048,555.0140555413002
28,644.7076821496905,947.5716873819117,813.255183338128,424.62136045118086,712.8518001665714
29,999.9014590483105,530.7657513333922,644.1350770767428,634.1685641022196,550.839828143543
30,220.34765493487524,584.9430420645266,300.1495696145654,890.8820719159428,206.96511636362374
