Día,Belisario,Carapungo,Centro,Cotocollao,El Camal
1,84.52,84.92,84.35,84.6,82.4
2,75.93,82.39,77.46,81.86,78.21
3,76,82.72,76.61,79.49,76.74
4,76.47,78.08,76.53,79.21,76.6
5,82.84,85.48,80.42,81.47,79.02
6,80.73,81.25,79.68,79.85,78.87
7,75.07,77.77,74.11,77.37,76.61
8,80.02,84.38,78.25,81.44,77.17
9,64.12,70.05,61.95,67.23,64.82
10,50.27,55.38,52.06,57,56.42
11,54.71,62.22,52.83,62.42,55.53
12,63.92,73.97,62.1,70.31,62.18
13,72.77,79.86,70.66,77.12,69.01
14,74.53,78.53,74.21,79.15,72.86
15,84.2,85.08,83.79,83.4,79.6
16,88.91,89.66,87.88,86.56,83.75
17,85.64,86.62,83.18,84.55,82.38
18,86.32,85.5,85.18,86.51,81.96
19,80.18,84.15,76.45,80.23,77.75
20,74.92,80.05,73.9,78.86,77.69
21,67.95,76.79,65.96,74.15,68.71
22,60.75,71.32,59.85,67.26,61.44
23,55.13,63.6,53.37,62.22,55.24
24,61.78,72.21,61.1,68.99,62.1
25,77.48,81.46,74.68,78.22,72.09
26,83.12,86.23,81.61,83.76,77.62
27,72.68,77.64,69.79,76.31,72.25
28,64.08,70.11,59.8,69.86,62.33
29,55.35,59.38,51.33,59.62,54.5
30,65.57,72.67,63.67,70.86,65.26
