Día,Belisario,Carapungo,Centro,Cotocollao,El Camal
1,13.19,14.46,13.7,13.48,13.38
2,14.43,14.93,14.47,14.35,14
3,14.17,14.95,14.45,14.14,14.07
4,14.13,15.32,14.36,14.17,13.91
5,12.31,13.39,12.8,12.9,12.71
6,13.06,14.41,13.43,13.58,13.08
7,14.06,15.05,14.28,14.23,13.66
8,12.8,14.1,13.42,13.31,13.42
9,14.47,16.04,15.15,15.04,14.7
10,16.04,16.55,16.27,15.48,15.51
11,15.4,16.3,15.99,15.21,15.61
12,15.37,15.42,15.97,14.77,15.68
13,14.41,15.03,15.04,14.38,14.65
14,14.71,15.25,15.14,14.29,14.77
15,13.43,14.21,13.88,13.63,13.68
16,12.41,13.32,12.77,12.87,12.63
17,12.49,13.82,12.97,13.08,12.71
18,12.49,13.93,12.96,12.76,12.95
19,12.55,13.83,13.31,13.12,13.16
20,14.53,15.39,14.7,14.58,14.02
21,14.65,15.67,15.1,14.68,14.73
22,15.29,16.03,15.84,15.11,15.53
23,15.91,16.39,16.55,15.38,16.18
24,15.5,15.76,16.03,15.16,15.59
25,14.25,15.1,14.89,14.59,14.76
26,13.84,14.34,14.41,13.86,14.36
27,14.84,15.62,15.38,14.84,14.9
28,15.2,16.19,16.12,15.03,15.65
29,15.46,16.77,16.4,15.63,15.93
30,15.09,15.5,15.74,14.83,15.18
