Día,Belisario,Carapungo,Centro,Cotocollao,El Camal
0.98,1.38,1.36,1,1.12,
1.04,1.49,1.23,1.58,1.14,
1.13,1.3,1.25,1.18,0.96,
1.16,1.58,1.27,1.64,1.35,
1.05,1.1,1.17,0.97,1.12,
0.97,1.44,1.22,1.34,1.09,
1.02,1.66,1.19,1.5,1.13,
1.02,1.05,1.09,1.18,0.82,
1.18,1.33,1.22,1.29,1.25,
1.94,1.57,2.02,2.05,1.52,
1.39,1.89,1.93,2.43,1.55,
1.21,1.58,1.47,1.39,1.64,
1.3,1.58,1.46,1.44,1.4,
1.24,1.68,1.47,1.75,1.22,
1,1.68,1.41,1.63,1.47,
0.99,1.5,1.13,1.42,1.3,
0.8,1.15,1.01,0.83,1.19,
0.82,1.12,1.08,0.69,0.88,
0.89,1.15,1.09,0.91,0.97,
1.16,1.75,1.11,1.37,1.14,
1.02,1.48,1.53,1.28,1.62,
1.27,1.51,1.61,1.58,1.59,
1.4,1.5,1.58,1.62,1.47,
1.31,1.6,1.77,1.24,1.79,
1.02,1.67,1.54,1.26,1.46,
1.01,1.73,1.58,1.63,1.49,
0.99,1.67,1.37,1.35,1.33,
1.14,1.51,1.51,1.18,1.47,
1.3,1.59,1.79,1.55,1.61,
1.23,1.55,1.87,1.41,1.59,
